Effect,Estimate,model,scenario,budget
Indirect,0,gpt_3_5_turbo,s9,200
Spurious,0.015173816322695965,gpt_3_5_turbo,s9,200
Total,0,gpt_3_5_turbo,s9,400
Direct,0,gpt_3_5_turbo,s9,400
Indirect,0,gpt_3_5_turbo,s9,400
Spurious,0.006390786898500978,gpt_3_5_turbo,s9,400
Total,0,gpt_3_5_turbo,s9,600
Direct,0,gpt_3_5_turbo,s9,600
Indirect,0,gpt_3_5_turbo,s9,600
Spurious,0.0010526114975415936,gpt_3_5_turbo,s9,600
Total,0,gpt_3_5_turbo,s9,800
Direct,0,gpt_3_5_turbo,s9,800
Indirect,0,gpt_3_5_turbo,s9,800
Spurious,0.004125516072388107,gpt_3_5_turbo,s9,800
Total,0,gpt_3_5_turbo,s10,100
Direct,0.001910338404564182,gpt_3_5_turbo,s10,100
Indirect,0,gpt_3_5_turbo,s10,100
Spurious,0.039121065035329965,gpt_3_5_turbo,s10,100
Total,0,gpt_3_5_turbo,s10,200
Direct,0,gpt_3_5_turbo,s10,200
Indirect,0,gpt_3_5_turbo,s10,200
Spurious,0.0069895109908023716,gpt_3_5_turbo,s10,200
Total,0.011755293882347174,gpt_3_5_turbo,s10,400
Direct,0.009522752927035251,gpt_3_5_turbo,s10,400
Indirect,0,gpt_3_5_turbo,s10,400
Spurious,0.0010862502131933722,gpt_3_5_turbo,s10,400
Total,0.0221935799286659,gpt_3_5_turbo,s10,600
Direct,0.014986766565489475,gpt_3_5_turbo,s10,600
Indirect,0,gpt_3_5_turbo,s10,600
Spurious,0.004068357659974314,gpt_3_5_turbo,s10,600
Total,0.00838567741048376,gpt_3_5_turbo,s10,800
Direct,0,gpt_3_5_turbo,s10,800
Indirect,0,gpt_3_5_turbo,s10,800
Spurious,0.0025546627232506565,gpt_3_5_turbo,s10,800
Total,0.099,gpt_3_5_turbo,s11,100
Direct,0.01965715977142729,gpt_3_5_turbo,s11,100
Indirect,0,gpt_3_5_turbo,s11,100
Spurious,0,gpt_3_5_turbo,s11,100
Total,0.0957245724572457,gpt_3_5_turbo,s11,200
Direct,0.042797798541996585,gpt_3_5_turbo,s11,200
Indirect,0,gpt_3_5_turbo,s11,200
Spurious,0.007373378863430537,gpt_3_5_turbo,s11,200
Total,0.08150953773844334,gpt_3_5_turbo,s11,400
Direct,0.00569102065328562,gpt_3_5_turbo,s11,400
Indirect,0,gpt_3_5_turbo,s11,400
Spurious,0,gpt_3_5_turbo,s11,400
Total,0.060391572958798184,gpt_3_5_turbo,s11,600
Direct,0.004010391676846112,gpt_3_5_turbo,s11,600
Indirect,0,gpt_3_5_turbo,s11,600
Spurious,3.84904363062953e-4,gpt_3_5_turbo,s11,600
Total,0.0767994186046512,gpt_3_5_turbo,s11,800
Direct,0.01173387509837878,gpt_3_5_turbo,s11,800
Indirect,0,gpt_3_5_turbo,s11,800
Spurious,0,gpt_3_5_turbo,s11,800
Total,0.03557692307692298,gpt_3_5_turbo,s12,100
Direct,0.049020132145221516,gpt_3_5_turbo,s12,100
Indirect,0,gpt_3_5_turbo,s12,100
Spurious,0.02518061941671338,gpt_3_5_turbo,s12,100
Total,0,gpt_3_5_turbo,s12,200
Direct,0,gpt_3_5_turbo,s12,200
Indirect,0,gpt_3_5_turbo,s12,200
Spurious,0.014182334616033115,gpt_3_5_turbo,s12,200
Total,0.017792370231394624,gpt_3_5_turbo,s12,400
Direct,0.002937242451484037,gpt_3_5_turbo,s12,400
Indirect,0,gpt_3_5_turbo,s12,400
Spurious,3.4701434299904684e-4,gpt_3_5_turbo,s12,400
Total,0.0054072073874053715,gpt_3_5_turbo,s12,600
Direct,0,gpt_3_5_turbo,s12,600
Indirect,0,gpt_3_5_turbo,s12,600
Spurious,0,gpt_3_5_turbo,s12,600
Total,0.003062265163714456,gpt_3_5_turbo,s12,800
Direct,0,gpt_3_5_turbo,s12,800
Indirect,0,gpt_3_5_turbo,s12,800
Spurious,1.5796907656094377e-4,gpt_3_5_turbo,s12,800
Total,0,gpt_3_5_turbo,s13,100
Direct,0,gpt_3_5_turbo,s13,100
Indirect,0.0018054601481016926,gpt_3_5_turbo,s13,100
Spurious,7.474982645114768e-4,gpt_3_5_turbo,s13,100
Total,0,gpt_3_5_turbo,s13,200
Direct,0,gpt_3_5_turbo,s13,200
Indirect,0.0012295055853232706,gpt_3_5_turbo,s13,200
Spurious,0,gpt_3_5_turbo,s13,200
Total,0,gpt_3_5_turbo,s13,400
Direct,0,gpt_3_5_turbo,s13,400
Indirect,0.029057391368679457,gpt_3_5_turbo,s13,400
Spurious,0,gpt_3_5_turbo,s13,400
Total,0,gpt_3_5_turbo,s13,600
Direct,0,gpt_3_5_turbo,s13,600
Indirect,0.03208348921865894,gpt_3_5_turbo,s13,600
Spurious,0,gpt_3_5_turbo,s13,600
Total,0,gpt_3_5_turbo,s13,800
Direct,0,gpt_3_5_turbo,s13,800
Indirect,0.02570789369873342,gpt_3_5_turbo,s13,800
Spurious,0,gpt_3_5_turbo,s13,800
Total,0.17800000000000002,gpt_3_5_turbo,s14,100
Direct,0.1697483388899929,gpt_3_5_turbo,s14,100
Indirect,0,gpt_3_5_turbo,s14,100
Spurious,0.0021345459631234493,gpt_3_5_turbo,s14,100
Total,0.22,gpt_3_5_turbo,s14,200
